study_id,reference,title,year,location,domain,intervention_category,intervention_technique,type_experiment,population,control_group_scenario_prompt,intervention_group_scenario_prompt,response_instruction,response_options,note,n_study,n_comparison,n_control,n_intervention,binary_outcome,mean_control,sd_control,mean_intervention,sd_intervention,cohens_d,variance_d,approximation,ci_lower,ci_upper
Arana_1,Arana & Leon (2012),Can defaults save the climate? Evidence from a field experiment on carbon offsetting programs,2012,0,environment,structure,default,natural_field,1.0,"You are registering for a professional conference in Gran Canaria. During registration, you are informed that travel to the event contributes to global greenhouse gas emissions. You have the option to add a small carbon offset contribution to your conference fee. This supports verified environmental projects such as reforestation and clean energy. If you want to participate, you can check a box to add. The future is built by choices we make today — join us in supporting a greener planet.","You are registering for a professional conference in Gran Canaria. During registration, you are informed that travel to the event contributes to global greenhouse gas emissions. Your registration fee already includes a small carbon offset contribution that helps fund verified environmental projects like forest protection and renewable energy. If you prefer not to support the carbon offset program, you may uncheck the contribution. The future is built by choices we make today — thank you for joining us in building a more sustainable world.",Would you like to add the carbon offset contribution to your registration?,"Yes, I want to support climate action. (1); No, I prefer not to contribute. (0)","The reported mean in the meta-analysis table is the proportion of participants who answered “Yes” (accepted the additional fee) in each group. For example, in the control (opt-in) group, the mean is 0.45 (45%), and in the intervention (opt-out) group, the mean is 0.57 (57%).",1680,1680,856,824,1,0.45,,0.57,,0.2406,0.0024,0,0.1445817664728938,0.3366182335271062
Bamberg_1,Bamberg (2002),Effects of implementation intention on the actual performance of new environmentally friendly behaviours - Results of two field experiments,2002,0,environment,assistance,commitment,conventional_lab,1.0,You are invited to help test a new university circular bus route. All you need to do is try the bus once within the next 7 days and return your ticket along with a short feedback form.,"You are invited to help test a new university circular bus route. All you need to do is try the bus once within the next 7 days and return your ticket along with a short feedback form. To make it easier for yourself to follow through, please take a moment now to write down the specific day, time, and place you plan to ride the bus (e.g., “Wednesday at 2 p.m. from the library stop”). Research shows that people who make a clear plan — and even imagine themselves carrying it out — are much more likely to follow through.",Did you actually conduct the bus-route test and return both the test protocol and the cancelled bus ticket within the next 7 days?,"Yes (1), No (0)","The reported mean in the meta-analysis table reflects the proportion of participants in each group who returned the test protocol and used bus ticket (“Yes” = 1, “No” = 0), so the mean is simply the percentage who completed the behavior.",90,90,45,45,1,0.311,,0.533,,0.4541,0.0456,0,0.035566223318055,0.872633776681945
Bamberg_2,Bamberg (2002),Effects of implementation intention on the actual performance of new environmentally friendly behaviours - Results of two field experiments,2002,0,environment,assistance,commitment,conventional_lab,1.0,"You are asked to act as a test buyer and to visit a local organic food shop (“bio-shop”) that you have never or seldom visited before. Please purchase at least one item within the next 7 days. You will receive a voucher worth 2.5 Euro, which you can use in the shop. The location of the shop is marked for you on a city map.","You are asked to act as a test buyer and to visit a local organic food shop (“bio-shop”) that you have never or seldom visited before. Please purchase at least one item within the next 7 days. You will receive a voucher worth 2.5 Euro, which you can use in the shop. The location of the shop is marked for you on a city map. Additionally, you are instructed to make a specific plan by deciding on the exact day and time within the next 7 days when you will visit the bio-shop and writing this down.",Did you actually redeem your voucher and send back the test protocol after buying something at the bio-shop within the next 7 days?,"Yes (1), No (0)","The reported mean in the meta-analysis table reflects the proportion of participants in each group who redeemed the voucher (“Yes” = 1, “No” = 0), so the mean is the percentage of participants who completed the purchase and returned the protocol.",159,159,79,80,1,0.342,,0.5,,0.3215,0.0255,0,0.0085188505233898,0.6344811494766102
Bamberg_3,Bamberg (2002),Effects of implementation intention on the actual performance of new environmentally friendly behaviours - Results of two field experiments,2002,0,environment,assistance,commitment,conventional_lab,1.0,"You are asked to act as a test buyer and to visit a local organic food shop (“bio-shop”) that you have never or seldom visited before. Please purchase at least one item within the next 7 days. You will receive a voucher worth 7.5 Euro, which you can use in the shop. The location of the shop is marked for you on a city map. ","You are asked to act as a test buyer and to visit a local organic food shop (“bio-shop”) that you have never or seldom visited before. Please purchase at least one item within the next 7 days. You will receive a voucher worth 7.5 Euro, which you can use in the shop. The location of the shop is marked for you on a city map. Additionally, you are instructed to make a specific plan by deciding on the exact day and time within the next 7 days when you will visit the bio-shop and writing this down.",Did you actually redeem your voucher and send back the test protocol after buying something at the bio-shop within the next 7 days?,"Yes (1), No (0)","The reported mean in the meta-analysis table reflects the proportion of participants in each group who redeemed the voucher (“Yes” = 1, “No” = 0), so the mean is the percentage of participants who completed the purchase and returned the protocol.",160,160,81,79,1,0.543,,0.608,,0.1316,0.0251,0,-0.1789166926260528,0.4421166926260528
Bohm_1,Bohm et al. (2016),Outcome valence and externality valence framing in public good dilemmas,2016,0,environment,information,translation,conventional_lab,1.0,"Our city is at a moderate level in environmental ratings (currently scoring 0), but we can do better. If everyone donates, the environmental score will increase by 50 points, making the city greener. Your donation will be doubled by the government, doubling its impact. Now is our opportunity to improve the urban environment together.","Our city's environmental rating is lower than the national average (current score -50) and urgently needs improvement. If everyone donates, the environmental score will increase by 50 points and the city will return to green standards. Your donation will be doubled by the government, doubling its impact. This isn’t just about numbers — it’s about your neighborhood, your health, your children's future. Together, we can turn things around — but only if we act now.",How much money would you like to contribute to improve environmental friendliness in your city?,Please output any amount from 0 to 100 Euros (continuous scale).,"The reported mean in the meta-analysis table reflects the average amount (in Euros) that participants in each group indicated they would contribute, ranging from 0 to 100 Euros.",167,167,84,83,0,50.86,34.19,60.96,35.24,0.2909,0.0242,1,-0.0139988413569291,0.5957988413569291
Broman_1,Broman et al. (2014),"The importance of framing for consumer acceptance of the smart Grid: A comparative study of Denmark, Norway, and Switzerland",2014,0,environment,structure,default,artefactual_field,1.0,"You are a Swiss. Your power company plans to install a smart meter with remote control function (at no additional cost). By default, smart meters will not be installed. If you are willing to accept installation, you need to check 'Agree' on the website.","You are a Swiss. Your power company plans to install a smart meter with remote control function (at no additional cost). By default, a smart meter will be installed. If you do not wish to install it, you can choose to exit by checking 'Do not agree' on the website.",Would you accept having a smart meter with remote control installed in your home?,"Yes (1), No (0)","The reported mean is the proportion of participants who chose “Yes.” This is a binary outcome where “Yes” is coded as 1 and “No” as 0; thus, the mean equals the percentage who accepted installation.",945,945,473,472,1,0.47,,0.74,,0.5607,0.0044,1,0.4306906972134141,0.6907093027865858
Broman_2,Broman et al. (2014),"The importance of framing for consumer acceptance of the smart Grid: A comparative study of Denmark, Norway, and Switzerland",2014,0,environment,structure,default,artefactual_field,1.0,"You are a Danish. Your power company plans to install a smart meter with remote control function (at no additional cost). By default, smart meters will not be installed. If you are willing to accept installation, you need to check 'Agree' on the website.","You are a Danish. Your power company plans to install a smart meter with remote control function (at no additional cost). By default, a smart meter will be installed. If you do not wish to install it, you can choose to exit by checking 'Do not agree' on the website.",Would you accept having a smart meter with remote control installed in your home?,"Yes (1), No (0)","The reported mean is the proportion of participants who chose “Yes.” This is a binary outcome where “Yes” is coded as 1 and “No” as 0; thus, the mean equals the percentage who accepted installation.",956,956,478,478,1,0.6,,0.79,,0.4174,0.0043,1,0.288876566615326,0.545923433384674
Broman_3,Broman et al. (2014),"The importance of framing for consumer acceptance of the smart Grid: A comparative study of Denmark, Norway, and Switzerland",2014,0,environment,structure,default,artefactual_field,1.0,"You are a Norwegian. Your power company plans to install a smart meter with remote control function (at no additional cost). By default, smart meters will not be installed. If you are willing to accept installation, you need to check 'Agree' on the website.","You are a Norwegian. Your power company plans to install a smart meter with remote control function (at no additional cost). By default, a smart meter will be installed. If you do not wish to install it, you can choose to exit by checking 'Do not agree' on the website.",Would you accept having a smart meter with remote control installed in your home?,"Yes (1), No (0)","The reported mean is the proportion of participants who chose “Yes.” This is a binary outcome where “Yes” is coded as 1 and “No” as 0; thus, the mean equals the percentage who accepted installation.",901,901,451,450,1,0.58,,0.76,,0.3862,0.0045,1,0.2547216189135127,0.5176783810864872
Bruns_1,Bruns et al. (2018),Can nudges be transparent and yet effective?,2018,0,environment,structure,default,conventional_lab,1.0,You are participating in an experiment on decision-making. You receive 10 Euros. You are asked to decide how much of your 10 Euros you would like to contribute to a climate protection fund. The amount you choose will be used to retire carbon emission licenses through an actual environmental organization. You can freely enter any amount between 0 and 10 Euros.,"You are participating in an experiment on decision-making. You receive 10 Euros. You are asked to decide how much of your 10 Euros you would like to contribute to a climate protection fund. The amount you choose will be used to retire carbon emission licenses through an actual environmental organization. In the decision interface, you see that an 8 Euro contribution is already preselected as a default value. You can select a different amount if you wish.",How much of your 10 Euros would you like to contribute to the climate protection fund?,Please output any whole Euro amount from 0 to 10,"The reported mean in the meta-analysis table represents the average contribution (in Euros) out of the possible 0–10, aggregated across all participants in each condition. The standard deviation reflects the variability in those contributions.",256,256,85,171,0,1.82,2.66,2.95,2.98,0.3926,0.0179,0,0.1303746905990483,0.6548253094009517
Camilleri_1,Camilleri & Larrick (2014),Metric and scale design as choice architecture tools,2014,1,environment,information,translation,artefactual_field,1.0,"You are presented with a series of choices between two vehicles. Vehicle A: Price $18000, fuel consumption 5.0 gallons per 100 miles; Vehicle B: Price $21000, fuel consumption 4.0 gallons per 100 miles.","You are presented with a series of choices between two vehicles. Vehicle A: Price $18000, cost of gas $20 per 100 miles; Vehicle B: Price $21000, cost of gas $16 per 100 miles.","You want to minimize the total cost of owning and operating the vehicle, especially focusing on fuel costs. Which vehicle do you prefer?","1 =Vehicle B, 0 = Vehicle A","The reported mean is the proportion of times participants in each condition selected the fuel-efficient vehicle out of the total choices. (E.g., mean_control = 0.587, mean_intervention = 0.751, so 58.7% and 75.1% of choices, respectively, favored the fuel-efficient vehicle) .",424,282,141,141,1,0.587,,0.751,,0.351,0.0144,1,0.1158043218551935,0.5861956781448064
Camilleri_2,Camilleri & Larrick (2014),Metric and scale design as choice architecture tools,2014,1,environment,information,translation,artefactual_field,1.0,"You are presented with a series of choices between two vehicles. Vehicle A: Price $18000, fuel consumption 750 gallons per 15,000 miles; Vehicle B: Price $21000, fuel consumption 600 gallons per 15,000 miles.","You are presented with a series of choices between two vehicles. Vehicle A: Price $18000, cost of gas $3000 per 15,000 miles; Vehicle B: Price $21000, cost of gas $2400 per 15,000 miles.","You want to minimize the total cost of owning and operating the vehicle, especially focusing on fuel costs. Which vehicle do you prefer?","1 =Vehicle B, 0 = Vehicle A","The reported mean is the proportion of times participants in each condition selected the fuel-efficient vehicle out of the total choices. (E.g., mean_control = 0.473, mean_intervention = 0.57) .",484,322,161,161,1,0.473,,0.57,,0.1945,0.0125,1,-0.0246306351441453,0.4136306351441454
Camilleri_3,Camilleri & Larrick (2014),Metric and scale design as choice architecture tools,2014,1,environment,information,translation,artefactual_field,1.0,"You are presented with a series of choices between two vehicles. Vehicle A: Price $32789, fuel consumption 7.0 gallons per 100 miles; Vehicle B: Price $34789, fuel consumption 6.0 gallons per 100 miles.   ","You are presented with a series of choices between two vehicles. Vehicle A: Price $32789, cost of gas $28 per 100 miles; Vehicle B: Price $34789, cost of gas $24 per 100 miles.","You want to minimize the total cost of owning and operating the vehicle, especially focusing on fuel costs. Which vehicle do you prefer?","1 =Vehicle B, 0 = Vehicle A","The reported mean is the proportion of times participants in each condition selected the fuel-efficient vehicle out of the total choices. (E.g., mean_control = 0.473, mean_intervention = 0.57) .",424,283,142,141,1,0.672,,0.751,,0.1747,0.0142,1,-0.0588566639037657,0.4082566639037657
