study_id,reference,title,year,intervention_category,intervention_technique,type_experiment,environmental_context,control_group_scenario_prompt,intervention_group_scenario_prompt,response_instruction,response_options,n_study,n_comparison,n_control,n_intervention,binary_outcome,mean_control,sd_control,mean_intervention,sd_intervention,cohens_d,variance_d,ci_lower,ci_upper,gpt35_llm_mean_control,gpt35_llm_mean_intervention,gpt35_llm_std_control,gpt35_llm_std_intervention,gpt35_llm_cohens_d,gpt35_llm_p_value,gpt35_llm_variance_d,gpt35_llm_ci_lower,gpt35_llm_ci_upper,gpt4o_llm_mean_control,gpt4o_llm_mean_intervention,gpt4o_llm_std_control,gpt4o_llm_std_intervention,gpt4o_llm_cohens_d,gpt4o_llm_p_value,gpt4o_llm_variance_d,gpt4o_llm_ci_lower,gpt4o_llm_ci_upper,claude3_llm_mean_control,claude3_llm_mean_intervention,claude3_llm_std_control,claude3_llm_std_intervention,claude3_llm_cohens_d,claude3_llm_p_value,claude3_llm_variance_d,claude3_llm_ci_lower,claude3_llm_ci_upper,deepseekv3_llm_mean_control,deepseekv3_llm_mean_intervention,deepseekv3_llm_std_control,deepseekv3_llm_std_intervention,deepseekv3_llm_cohens_d,deepseekv3_llm_p_value,deepseekv3_llm_variance_d,deepseekv3_llm_ci_lower,deepseekv3_llm_ci_upper
Arana_1,Arana & Leon (2012),Can defaults save the climate? Evidence from a field experiment on carbon offsetting programs,2012,structure,default,natural_field,Green transportation,"You are registering for a professional conference in Gran Canaria. During registration, you are informed that travel to the event contributes to global greenhouse gas emissions. You have the option to add a small carbon offset contribution to your conference fee. This supports verified environmental projects such as reforestation and clean energy. If you want to participate, you can check a box to add. The future is built by choices we make today — join us in supporting a greener planet.","You are registering for a professional conference in Gran Canaria. During registration, you are informed that travel to the event contributes to global greenhouse gas emissions. Your registration fee already includes a small carbon offset contribution that helps fund verified environmental projects like forest protection and renewable energy. If you prefer not to support the carbon offset program, you may uncheck the contribution. The future is built by choices we make today — thank you for joining us in building a more sustainable world.",Would you like to add the carbon offset contribution to your registration?,"Yes, I want to support climate action. (1); No, I prefer not to contribute. (0)",1680,1680,856,824,1,0.45,,0.57,,0.2406,0.0024,0.1445817664728938,0.3366182335271062,0.44,0.9,0.5014265364224069,0.303045763365663,1.0475851003964003,2.886523098675512e-06,0.0454871727128626,0.6295694298214045,1.465600770971396,0.58,0.72,0.4985693819032897,0.4535573676110727,0.2949080204439127,0.2084128036841447,0.0404348537026107,-0.0992097607070657,0.6890258015948911,0.1,0.6,0.303045763365663,0.4948716593053935,1.1286531387919432,4.859791358328688e-07,0.0463692895385245,0.7066037147820473,1.5507025628018392,0.08,0.3,0.2740475156178697,0.4629100498862757,0.5857663763043117,0.0108012566159125,0.0417156112380434,0.1854554936755367,0.9860772589330868
Bamberg_1,Bamberg (2002),Effects of implementation intention on the actual performance of new environmentally friendly behaviours - Results of two field experiments,2002,assistance,commitment,conventional_lab,Green transportation,You are invited to help test a new university circular bus route. All you need to do is try the bus once within the next 7 days and return your ticket along with a short feedback form.,"You are invited to help test a new university circular bus route. All you need to do is try the bus once within the next 7 days and return your ticket along with a short feedback form. To make it easier for yourself to follow through, please take a moment now to write down the specific day, time, and place you plan to ride the bus (e.g., “Wednesday at 2 p.m. from the library stop”). Research shows that people who make a clear plan — and even imagine themselves carrying it out — are much more likely to follow through.",Did you actually conduct the bus-route test and return both the test protocol and the cancelled bus ticket within the next 7 days?,"Yes (1), No (0)",90,90,45,45,1,0.311,,0.533,,0.4541,0.0456,0.035566223318055,0.872633776681945,0.0,0.2,0.0,0.4045199174779453,0.9272952180016122,0.0049401068841213,0.0492215356740481,0.4924590392133441,1.3621313967898805,0.7111111111111111,0.4222222222222222,0.4583677673015522,0.4994946941609586,-0.5920852062976707,0.0106917981945432,0.0463920271750919,-1.014238095665538,-0.1699323169298036,0.0888888888888888,0.0222222222222222,0.2877990320141517,0.149071198499986,-0.3062340845269738,0.3573857160375265,0.0449654406362559,-0.7218455479859882,0.1093773789320404,0.0444444444444444,0.0,0.2084090771399928,0.0,-0.4248244274788886,0.4745491434494013,0.0454470877454598,-0.8426558720766553,-0.0069929828811221
Bamberg_2,Bamberg (2002),Effects of implementation intention on the actual performance of new environmentally friendly behaviours - Results of two field experiments,2002,assistance,commitment,conventional_lab,Green purchasing,"You are asked to act as a test buyer and to visit a local organic food shop (“bio-shop”) that you have never or seldom visited before. Please purchase at least one item within the next 7 days. You will receive a voucher worth 2.5 Euro, which you can use in the shop. The location of the shop is marked for you on a city map.","You are asked to act as a test buyer and to visit a local organic food shop (“bio-shop”) that you have never or seldom visited before. Please purchase at least one item within the next 7 days. You will receive a voucher worth 2.5 Euro, which you can use in the shop. The location of the shop is marked for you on a city map. Additionally, you are instructed to make a specific plan by deciding on the exact day and time within the next 7 days when you will visit the bio-shop and writing this down.",Did you actually redeem your voucher and send back the test protocol after buying something at the bio-shop within the next 7 days?,"Yes (1), No (0)",159,159,79,80,1,0.342,,0.5,,0.3215,0.0255,0.0085188505233898,0.6344811494766102,0.050632911392405,0.35,0.2206478908203439,0.4799789024899354,0.8121815146961575,6.493990693035031e-06,0.0272325637374539,0.4887425371758881,1.135620492216427,0.6708860759493671,0.575,0.4728939542678912,0.4974619125424374,-0.1982336833282885,0.2785685542976789,0.0252818020405726,-0.5098729001348395,0.1134055334782625,0.2151898734177215,0.1625,0.4135799329292692,0.3712363878934859,-0.1349209518309568,0.5180577716208903,0.0252154720721357,-0.4461510879191453,0.1763091842572315,0.0,0.025,0.0,0.1571099751887114,0.3175604292915214,0.4822680399227033,0.0254753493143019,0.0047305948228613,0.6303902637601815
Bamberg_3,Bamberg (2002),Effects of implementation intention on the actual performance of new environmentally friendly behaviours - Results of two field experiments,2002,assistance,commitment,conventional_lab,Green purchasing,"You are asked to act as a test buyer and to visit a local organic food shop (“bio-shop”) that you have never or seldom visited before. Please purchase at least one item within the next 7 days. You will receive a voucher worth 7.5 Euro, which you can use in the shop. The location of the shop is marked for you on a city map. ","You are asked to act as a test buyer and to visit a local organic food shop (“bio-shop”) that you have never or seldom visited before. Please purchase at least one item within the next 7 days. You will receive a voucher worth 7.5 Euro, which you can use in the shop. The location of the shop is marked for you on a city map. Additionally, you are instructed to make a specific plan by deciding on the exact day and time within the next 7 days when you will visit the bio-shop and writing this down.",Did you actually redeem your voucher and send back the test protocol after buying something at the bio-shop within the next 7 days?,"Yes (1), No (0)",160,160,81,79,1,0.543,,0.608,,0.1316,0.0251,-0.1789166926260528,0.4421166926260528,0.0493827160493827,0.4177215189873418,0.2180157430038729,0.4963351570468689,0.9573013088547996,9.439244293905705e-08,0.0278677374727441,0.630112119046424,1.2844904986631756,0.8024691358024691,0.7215189873417721,0.4006168083848881,0.451115678517262,-0.1907038012891337,0.3090583165407862,0.0251175566724035,-0.5013290733348728,0.1199214707566052,0.4320987654320987,0.379746835443038,0.4984544012479546,0.4884249271331114,-0.1066640675122221,0.607861850757476,0.0250394606832539,-0.4168060625840113,0.2034779275595671,0.0123456790123456,0.0379746835443038,0.1111111111111111,0.192356371638255,0.1695697045427702,0.5949132111811997,0.0250937627501304,-0.1409084046064808,0.4800478136920214
Bohm_1,Bohm et al. (2016),Outcome valence and externality valence framing in public good dilemmas,2016,information,translation,conventional_lab,Environmental donation,"Our city is at a moderate level in environmental ratings (currently scoring 0), but we can do better. If everyone donates, the environmental score will increase by 50 points, making the city greener. Your donation will be doubled by the government, doubling its impact. Now is our opportunity to improve the urban environment together.","Our city's environmental rating is lower than the national average (current score -50) and urgently needs improvement. If everyone donates, the environmental score will increase by 50 points and the city will return to green standards. Your donation will be doubled by the government, doubling its impact. This isn’t just about numbers — it’s about your neighborhood, your health, your children's future. Together, we can turn things around — but only if we act now.",How much money would you like to contribute to improve environmental friendliness in your city?,Please output any amount from 0 to 100 Euros (continuous scale).,167,167,84,83,0,50.86,34.19,60.96,35.24,0.2909,0.0242,-0.0139988413569291,0.5957988413569291,32.023809523809526,37.40963855421687,11.74834127279578,11.877459842356368,0.4559360307240443,0.0036880527339025,0.0245753428917516,0.1486817911713541,0.7631902702767346,28.69047619047619,35.06024096385542,12.02705403189714,13.05462201822746,0.5076219006333573,0.0012758012840713,0.024724451663878,0.1994369514047652,0.8158068498619494,26.035714285714285,26.44578313253012,7.188421796012241,5.383472929407486,0.0645187102176355,0.6768347947971918,0.0239654177416191,-0.2388987668254021,0.3679361872606732,20.83333333333333,25.5421686746988,10.637321582135565,12.272615962237548,0.4102069775071882,0.0088962932451005,0.0244567563656533,0.1036949508811415,0.716719004133235
Broman_1,Broman et al. (2014),"The importance of framing for consumer acceptance of the smart Grid: A comparative study of Denmark, Norway, and Switzerland",2014,structure,default,artefactual_field,Energy conservation,"You are a Swiss. Your power company plans to install a smart meter with remote control function (at no additional cost). By default, smart meters will not be installed. If you are willing to accept installation, you need to check 'Agree' on the website.","You are a Swiss. Your power company plans to install a smart meter with remote control function (at no additional cost). By default, a smart meter will be installed. If you do not wish to install it, you can choose to exit by checking 'Do not agree' on the website.",Would you accept having a smart meter with remote control installed in your home?,"Yes (1), No (0)",945,945,473,472,1,0.47,,0.74,,0.5607,0.0044,0.4306906972134141,0.6907093027865858,0.5644820295983086,0.5423728813559322,0.4963495942353183,0.4987298993132101,-0.0444767135927455,0.5364868508225061,0.0042338556277131,-0.1720078158644039,0.0830543886789128,0.9936575052854124,1.0,0.0794708735134047,0.0,0.1594484159659241,0.2482122163579196,0.0042462607172909,0.0317306188998758,0.2871662130319725,0.2029598308668076,0.1864406779661017,0.4026286935980186,0.3898750966056357,-0.041726643552307,0.5761179714143082,0.0042337301963534,-0.1692558567045139,0.0858025695998998,0.0211416490486257,0.5699152542372882,0.1440087649574252,0.49561301896249,1.4192486526653036,9.054028249402651e-76,0.0052985585695334,1.2765805253421396,1.5619167799884677
Broman_2,Broman et al. (2014),"The importance of framing for consumer acceptance of the smart Grid: A comparative study of Denmark, Norway, and Switzerland",2014,structure,default,artefactual_field,Energy conservation,"You are a Danish. Your power company plans to install a smart meter with remote control function (at no additional cost). By default, smart meters will not be installed. If you are willing to accept installation, you need to check 'Agree' on the website.","You are a Danish. Your power company plans to install a smart meter with remote control function (at no additional cost). By default, a smart meter will be installed. If you do not wish to install it, you can choose to exit by checking 'Do not agree' on the website.",Would you accept having a smart meter with remote control installed in your home?,"Yes (1), No (0)",956,956,478,478,1,0.6,,0.79,,0.4174,0.0043,0.288876566615326,0.545923433384674,0.702928870292887,0.9288702928870292,0.4574468833804046,0.2573106759918234,0.6129412366841993,4.293766454041242e-19,0.0043805946441568,0.4832189412385748,0.7426635321298238,0.98744769874477,0.997907949790795,0.1114483098587629,0.0457389353746347,0.1330357513511173,0.1291597894679897,0.004193356961892,0.006116059854568,0.2599554428476666,0.405857740585774,0.5062761506276151,0.4915717280183224,0.5004844017241893,0.2019677618576294,0.0022733616022558,0.0042054346113126,0.0748654255986946,0.3290700981165642,0.0334728033472803,0.6443514644351465,0.1800561008920142,0.4792108925807956,1.4956839233684858,5.664846941166043e-88,0.0053541163172714,1.3522697770857546,1.639098069651217
Broman_3,Broman et al. (2014),"The importance of framing for consumer acceptance of the smart Grid: A comparative study of Denmark, Norway, and Switzerland",2014,structure,default,artefactual_field,Energy conservation,"You are a Norwegian. Your power company plans to install a smart meter with remote control function (at no additional cost). By default, smart meters will not be installed. If you are willing to accept installation, you need to check 'Agree' on the website.","You are a Norwegian. Your power company plans to install a smart meter with remote control function (at no additional cost). By default, a smart meter will be installed. If you do not wish to install it, you can choose to exit by checking 'Do not agree' on the website.",Would you accept having a smart meter with remote control installed in your home?,"Yes (1), No (0)",901,901,451,450,1,0.58,,0.76,,0.3862,0.0045,0.2547216189135127,0.5176783810864872,0.6784922394678492,0.9177777777777778,0.4675738200133331,0.2750087173260078,0.6241055362428123,7.867931879914166e-19,0.0046556701304178,0.4903723500520401,0.7578387224335845,0.9933481152993348,1.0,0.0813776429288925,0.0,0.1632995583679592,0.2482121299458776,0.0044543155385167,0.0324902707940639,0.2941088459418546,0.4878048780487805,0.3866666666666666,0.5004063389536955,0.4875281957467763,-0.2042612388814271,0.0027640304656973,0.0044626706483648,-0.3351931506753581,-0.073329327087496,0.0753880266075388,0.7377777777777778,0.2643096126193403,0.4403323754181327,1.5101093085589712,1.6517513476909739e-90,0.0057050166362044,1.3620701702226703,1.658148446895272
Bruns_1,Bruns et al. (2018),Can nudges be transparent and yet effective?,2018,structure,default,conventional_lab,Green transportation,You are participating in an experiment on decision-making. You receive 10 Euros. You are asked to decide how much of your 10 Euros you would like to contribute to a climate protection fund. The amount you choose will be used to retire carbon emission licenses through an actual environmental organization. You can freely enter any amount between 0 and 10 Euros.,"You are participating in an experiment on decision-making. You receive 10 Euros. You are asked to decide how much of your 10 Euros you would like to contribute to a climate protection fund. The amount you choose will be used to retire carbon emission licenses through an actual environmental organization. In the decision interface, you see that an 8 Euro contribution is already preselected as a default value. You can select a different amount if you wish.",How much of your 10 Euros would you like to contribute to the climate protection fund?,Please output any whole Euro amount from 0 to 10,256,256,85,171,0,1.82,2.66,2.95,2.98,0.3926,0.0179,0.1303746905990483,0.6548253094009517,3.7058823529411766,5.584795321637427,0.8840320158467208,1.3361940415537952,1.558517834575984,8.510909331586964e-31,0.0223567564438276,1.265460571838389,1.8515750973135792,3.364705882352941,5.426900584795321,0.9366487732174464,1.4467738091230316,1.585804276224178,6.014644714353685e-32,0.0225243294160922,1.2916507722238555,1.8799577802245,3.5058823529411764,5.093567251461988,0.853892061481464,0.8488848185452015,1.8666698749164288,4.630319935774311e-30,0.0244182380477907,1.5603993148971955,2.172940434935662,3.4235294117647057,4.7368421052631575,0.6792234814956903,0.6823742923957495,1.9275610457994568,1.405266785578409e-31,0.024869478601234,1.6184735534307524,2.2366485381681627
Camilleri_1,Camilleri & Larrick (2014),Metric and scale design as choice architecture tools,2014,information,translation,artefactual_field,Other,"You are presented with a series of choices between two vehicles. Vehicle A: Price $18000, fuel consumption 5.0 gallons per 100 miles; Vehicle B: Price $21000, fuel consumption 4.0 gallons per 100 miles.","You are presented with a series of choices between two vehicles. Vehicle A: Price $18000, cost of gas $20 per 100 miles; Vehicle B: Price $21000, cost of gas $16 per 100 miles.","You want to minimize the total cost of owning and operating the vehicle, especially focusing on fuel costs. Which vehicle do you prefer?","1 =Vehicle B, 0 = Vehicle A",424,282,141,141,1,0.587,,0.751,,0.351,0.0144,0.1158043218551935,0.5861956781448064,0.1063829787234042,0.3546099290780142,0.3094263738776379,0.480100462300037,0.6112685286785036,1.528494440324089e-06,0.0148468957697744,0.3724511534422651,0.8500859039147419,0.0638297872340425,0.2127659574468085,0.2453209547117177,0.4107225451792748,0.4480150460724539,0.0005605863154628,0.0145402792225306,0.2116765518004754,0.6843535403444324,0.1205673758865248,0.8156028368794326,0.3267847108017431,0.3891903111301834,1.5446756180010477,5.444401448509116e-31,0.018414933980225,1.2787052990351235,1.810645936966972,0.0,0.0141843971631205,0.0,0.1186721536019586,0.2387632710205475,0.4779350568246513,0.0142854749992702,0.0045047302077264,0.4730218118333686
