study_id,reference,title,year,environmental_context,control_group_scenario_prompt,intervention_group_scenario_prompt,response_instruction,response_options,note,n_comparison,n_control,n_intervention,sample_size_replication,binary_outcome,ATE,Robust_SE,significance_binary,llm_ATE,llm_Robust_SE,llm_p_value
Allcott_1,Allcott & Rogers (2012),The Short-Run and Long-Run Effects of Behavioral Interventions: Experimental Evidence from Energy Conservation,2012,Energy conservation,You are participating in a household electricity usage study. ,You are participating in a household electricity usage study. ,"This is {month_current} ({year_current}). For this month, what is your household electricity consumption in kilowatt-hours (kWh)? ","Please respond with a single number only, without any additional explanation or units.","control vs. treated (pretreatment, kWh)",83037,49290,33747,750,0,-0.004,0.071,0,-0.203,0.7162,0.7771
Allcott_2,Allcott & Rogers (2012),The Short-Run and Long-Run Effects of Behavioral Interventions: Experimental Evidence from Energy Conservation,2012,Energy conservation,You are participating in a household electricity usage study. ,"Last month ({month_prev} ({year_prev})), your household electricity consumption was {user_last_month} kWh, which is {comparison} your neighbors' average of {neighbors_last_month} kWh.
Here is your electricity consumption trend over the past 12 months:
- {Month_1} ({Year_1}): You used {user_value_1} kWh; neighbors' average was {neighbors_value_1} kWh.
- {Month_2} ({Year_2}): You used {user_value_2} kWh; neighbors' average was {neighbors_value_2} kWh.
...
- {Month_12} ({Year_12}): You used {user_value_12} kWh; neighbors' average was {neighbors_value_12} kWh.
{% if avg_diff < 0 %}
On average, over the past 12 months, you used {{ -avg_diff }} kWh less per month than your neighbors, saving you approximately {{ savings }} each month.
{% else %}
On average, over the past 12 months, you used {{ avg_diff }} kWh more per month than your neighbors, which costs you approximately {{ extra_cost }} extra each month.
{% endif %}","This is {month_current} ({year_current}). For this month, what is your household electricity consumption in kilowatt-hours (kWh)? ","Please respond with a single number only, without any additional explanation or units.","control vs. treated (first year, kWh)",83037,49290,33747,,0,-0.642,0.094,1,-0.813,0.2631,0.0021
Allcott_3,Allcott & Rogers (2012),The Short-Run and Long-Run Effects of Behavioral Interventions: Experimental Evidence from Energy Conservation,2012,Energy conservation,You are participating in a household electricity usage study. ,"Last month ({month_prev} ({year_prev})), your household electricity consumption was {user_last_month} kWh, which is {comparison} your neighbors' average of {neighbors_last_month} kWh.
Here is your electricity consumption trend over the past 12 months:
- {Month_1} ({Year_1}): You used {user_value_1} kWh; neighbors' average was {neighbors_value_1} kWh.
- {Month_2} ({Year_2}): You used {user_value_2} kWh; neighbors' average was {neighbors_value_2} kWh.
...
- {Month_12} ({Year_12}): You used {user_value_12} kWh; neighbors' average was {neighbors_value_12} kWh.
{% if avg_diff < 0 %}
On average, over the past 12 months, you used {{ -avg_diff }} kWh less per month than your neighbors, saving you approximately {{ savings }} each month.
{% else %}
On average, over the past 12 months, you used {{ avg_diff }} kWh more per month than your neighbors, which costs you approximately {{ extra_cost }} extra each month.
{% endif %}","This is {month_current} ({year_current}). For this month, what is your household electricity consumption in kilowatt-hours (kWh)? ","Please respond with a single number only, without any additional explanation or units.","control vs. treated (second year until drop, kWh)",83037,49290,33747,,0,-0.84,0.104,1,-0.9525,0.262,0.0003
Allcott_4,Allcott & Rogers (2012),The Short-Run and Long-Run Effects of Behavioral Interventions: Experimental Evidence from Energy Conservation,2012,Energy conservation,You are participating in a household electricity usage study. ,"{% if group == ""continued"" %}
Last month ({month_prev} ({year_prev})), your household electricity consumption was {user_last_month} kWh, which is {comparison} your neighbors' average of {neighbors_last_month} kWh.
Here is your electricity consumption trend over the past 12 months:
- {Month_1} ({Year_1}): You used {user_value_1} kWh; neighbors' average was {neighbors_value_1} kWh.
- {Month_2} ({Year_2}): You used {user_value_2} kWh; neighbors' average was {neighbors_value_2} kWh.
...
- {Month_12} ({Year_12}): You used {user_value_12} kWh; neighbors' average was {neighbors_value_12} kWh.
{% if avg_diff < 0 %}
On average, over the past 12 months, you used {{ -avg_diff }} kWh less per month than your neighbors, saving you approximately {{ savings }} each month.
{% else %}
On average, over the past 12 months, you used {{ avg_diff }} kWh more per month than your neighbors, which costs you approximately {{ extra_cost }} extra each month.
{% endif %}
{% else %}  {# dropped group #}
You used to receive a monthly household energy report, but these reports are no longer being sent.  
Last month ({month_prev} ({year_prev})), your household electricity consumption was {user_last_month} kWh.
{% endif %}","This is {month_current} ({year_current}). For this month, what is your household electricity consumption in kilowatt-hours (kWh)? ","Please respond with a single number only, without any additional explanation or units.","control vs. treated (post-drop, kWh)",83037,49290,33747,,0,-0.627,0.123,1,-0.6635,0.2819,0.0187
Allcott_5,Allcott & Rogers (2012),The Short-Run and Long-Run Effects of Behavioral Interventions: Experimental Evidence from Energy Conservation,2012,Energy conservation,You are participating in a household electricity usage study. ,You are participating in a household electricity usage study. ,"This is {month_current} ({year_current}). For this month, what is your household electricity consumption in kilowatt-hours (kWh)? ","Please respond with a single number only, without any additional explanation or units.","dropped vs. continued (pretreatment, kWh)",33747,12117,21630,,0,-0.007,0.055,0,0.02,0.8132,0.9804
Allcott_6,Allcott & Rogers (2012),The Short-Run and Long-Run Effects of Behavioral Interventions: Experimental Evidence from Energy Conservation,2012,Energy conservation,"Last month ({month_prev} ({year_prev})), your household electricity consumption was {user_last_month} kWh, which is {comparison} your neighbors' average of {neighbors_last_month} kWh.
Here is your electricity consumption trend over the past 12 months:
- {Month_1} ({Year_1}): You used {user_value_1} kWh; neighbors' average was {neighbors_value_1} kWh.
- {Month_2} ({Year_2}): You used {user_value_2} kWh; neighbors' average was {neighbors_value_2} kWh.
...
- {Month_12} ({Year_12}): You used {user_value_12} kWh; neighbors' average was {neighbors_value_12} kWh.
{% if avg_diff < 0 %}
On average, over the past 12 months, you used {{ -avg_diff }} kWh less per month than your neighbors, saving you approximately {{ savings }} each month.
{% else %}
On average, over the past 12 months, you used {{ avg_diff }} kWh more per month than your neighbors, which costs you approximately {{ extra_cost }} extra each month.
{% endif %}","Last month ({month_prev} ({year_prev})), your household electricity consumption was {user_last_month} kWh, which is {comparison} your neighbors' average of {neighbors_last_month} kWh.
Here is your electricity consumption trend over the past 12 months:
- {Month_1} ({Year_1}): You used {user_value_1} kWh; neighbors' average was {neighbors_value_1} kWh.
- {Month_2} ({Year_2}): You used {user_value_2} kWh; neighbors' average was {neighbors_value_2} kWh.
...
- {Month_12} ({Year_12}): You used {user_value_12} kWh; neighbors' average was {neighbors_value_12} kWh.
{% if avg_diff < 0 %}
On average, over the past 12 months, you used {{ -avg_diff }} kWh less per month than your neighbors, saving you approximately {{ savings }} each month.
{% else %}
On average, over the past 12 months, you used {{ avg_diff }} kWh more per month than your neighbors, which costs you approximately {{ extra_cost }} extra each month.
{% endif %}","This is {month_current} ({year_current}). For this month, what is your household electricity consumption in kilowatt-hours (kWh)? ","Please respond with a single number only, without any additional explanation or units.","dropped vs. continued (first year, kWh)",33747,12117,21630,,0,0.002,0.066,0,-0.0123,0.2611,0.9625
Allcott_7,Allcott & Rogers (2012),The Short-Run and Long-Run Effects of Behavioral Interventions: Experimental Evidence from Energy Conservation,2012,Energy conservation,"Last month ({month_prev} ({year_prev})), your household electricity consumption was {user_last_month} kWh, which is {comparison} your neighbors' average of {neighbors_last_month} kWh.
Here is your electricity consumption trend over the past 12 months:
- {Month_1} ({Year_1}): You used {user_value_1} kWh; neighbors' average was {neighbors_value_1} kWh.
- {Month_2} ({Year_2}): You used {user_value_2} kWh; neighbors' average was {neighbors_value_2} kWh.
...
- {Month_12} ({Year_12}): You used {user_value_12} kWh; neighbors' average was {neighbors_value_12} kWh.
{% if avg_diff < 0 %}
On average, over the past 12 months, you used {{ -avg_diff }} kWh less per month than your neighbors, saving you approximately {{ savings }} each month.
{% else %}
On average, over the past 12 months, you used {{ avg_diff }} kWh more per month than your neighbors, which costs you approximately {{ extra_cost }} extra each month.
{% endif %}","Last month ({month_prev} ({year_prev})), your household electricity consumption was {user_last_month} kWh, which is {comparison} your neighbors' average of {neighbors_last_month} kWh.
Here is your electricity consumption trend over the past 12 months:
- {Month_1} ({Year_1}): You used {user_value_1} kWh; neighbors' average was {neighbors_value_1} kWh.
- {Month_2} ({Year_2}): You used {user_value_2} kWh; neighbors' average was {neighbors_value_2} kWh.
...
- {Month_12} ({Year_12}): You used {user_value_12} kWh; neighbors' average was {neighbors_value_12} kWh.
{% if avg_diff < 0 %}
On average, over the past 12 months, you used {{ -avg_diff }} kWh less per month than your neighbors, saving you approximately {{ savings }} each month.
{% else %}
On average, over the past 12 months, you used {{ avg_diff }} kWh more per month than your neighbors, which costs you approximately {{ extra_cost }} extra each month.
{% endif %}","This is {month_current} ({year_current}). For this month, what is your household electricity consumption in kilowatt-hours (kWh)? ","Please respond with a single number only, without any additional explanation or units.","dropped vs. continued (second year until drop, kWh)",33747,12117,21630,,0,-0.039,0.08,0,0.08,0.2642,0.7621
Allcott_8,Allcott & Rogers (2012),The Short-Run and Long-Run Effects of Behavioral Interventions: Experimental Evidence from Energy Conservation,2012,Energy conservation,"You used to receive a monthly household energy report, but these reports are no longer being sent.  
Last month ({month_prev} ({year_prev})), your household electricity consumption was {user_last_month} kWh.","Last month ({month_prev} ({year_prev})), your household electricity consumption was {user_last_month} kWh, which is {comparison} your neighbors' average of {neighbors_last_month} kWh.
Here is your electricity consumption trend over the past 12 months:
- {Month_1} ({Year_1}): You used {user_value_1} kWh; neighbors' average was {neighbors_value_1} kWh.
- {Month_2} ({Year_2}): You used {user_value_2} kWh; neighbors' average was {neighbors_value_2} kWh.
...
- {Month_12} ({Year_12}): You used {user_value_12} kWh; neighbors' average was {neighbors_value_12} kWh.
{% if avg_diff < 0 %}
On average, over the past 12 months, you used {{ -avg_diff }} kWh less per month than your neighbors, saving you approximately {{ savings }} each month.
{% else %}
On average, over the past 12 months, you used {{ avg_diff }} kWh more per month than your neighbors, which costs you approximately {{ extra_cost }} extra each month.
{% endif %}","This is {month_current} ({year_current}). For this month, what is your household electricity consumption in kilowatt-hours (kWh)? ","Please respond with a single number only, without any additional explanation or units.","dropped vs. continued (post-drop, kWh)",33747,12117,21630,,0,-0.38,0.093,1,-0.6786,0.3211,0.0348
Paunov_1,Paunov & Gr端ne-Yanoff (2023),Boosting vs. nudging sustainable energy consumption: a long-term comparative field test in a residential context,2023,Energy conservation,"You are participating in an experiment. This is week {week_num}.
A web link library contains various energy-saving tips for your reference.
As of this week, your cumulative electricity usage is {cumulative_value} kWh.","You are participating in an experiment. This is week {week_num}.
A web link library contains various energy-saving tips for your reference.
Over the past several weeks, your and your friends' weekly electricity usage were as follows:
{Week_1}: You ({user_value_1} kWh), Friends ({friends_value_1} kWh)
...
You have set an energy-saving goal for yourself (10%).",Please output your electricity usage this week (in kWh) and your hot water usage this week (in cubic meters). ,"Output two numbers, separated by a comma.","baseline vs. nudge (cumulative electricity, kWh)",43,21,22,65,0,0.4049,0.2244,1,3.246,0.9279,0.0014
Paunov_2,Paunov & Gr端ne-Yanoff (2023),Boosting vs. nudging sustainable energy consumption: a long-term comparative field test in a residential context,2023,Energy conservation,"You are participating in an experiment. This is week {week_num}.
A web link library contains various energy-saving tips for your reference.
Over the past several weeks, your and your friends' weekly electricity usage were as follows:
{Week_1}: You ({user_value_1} kWh), Friends ({friends_value_1} kWh)
...
You have set an energy-saving goal for yourself (10%).","You are participating in an experiment. This is week {week_num}.
Next to each device in your daily life (e.g., oven, fridge), there is a QR code you can scan to view energy-saving tips specific to that device. It is very convenient. You can scan the QR codes with your phone to receive and store the tips.
As of this week, your cumulative electricity usage is {cumulative_value} kWh.",Please output your electricity usage this week (in kWh) and your hot water usage this week (in cubic meters). ,"Output two numbers, separated by a comma.","nudge vs. boost (cumulative electricity, kWh)",44,22,22,,0,-0.6507,0.2229,1,-3.2444,0.8734,0.0009
