study_id,cycle,d_round_2,p_round_2,d_round_3,p_round_3,d_round_4,p_round_4,d_round_5,p_round_5,d_round_6,p_round_6,d_round_7,p_round_7,d_round_8,p_round_8,d_round_9,p_round_9,d_round_10,p_round_10,d_round_11,p_round_11,d_round_12,p_round_12,d_round_13,p_round_13,d_round_14,p_round_14,d_round_15,p_round_15,d_round_16,p_round_16,d_round_17,p_round_17,d_round_18,p_round_18,d_round_19,p_round_19,d_round_20,p_round_20,d_round_21,p_round_21,d_round_22,p_round_22,d_round_23,p_round_23,d_round_24,p_round_24,d_round_25,p_round_25,d_round_26,p_round_26,d_round_27,p_round_27,d_round_28,p_round_28,d_round_29,p_round_29,d_round_30,p_round_30,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_9,round_10,round_11,round_12,round_13,round_14,round_15,round_16,round_17,round_18,round_19,round_20,round_21,round_22,round_23,round_24,round_25,round_26,round_27,round_28,round_29,round_30
Arana_1,single nudge,0.903323789,4.64e-05,0.495045222,0.029808894,0.219812006,0.413176151,0.316462164,0.193105147,0.316462164,0.193105147,0.495045222,0.029808894,0.537583628,0.017489974,0.316462164,0.193105147,0.537583628,0.017489974,0.407714442,0.080118314,0.268927315,0.286934882,0.702622462,0.001613578,0.579519006,0.010006316,0.059510796,1,0.219812006,0.413176151,0.407714442,0.080118314,0.495045222,0.029808894,0.620947264,0.005583617,0.495045222,0.029808894,0.451796269,0.049516819,0.362658403,0.126155842,0.579519006,0.010006316,0.495045222,0.029808894,0.451796269,0.049516819,0.316462164,0.193105147,0.579519006,0.010006316,0.407714442,0.080118314,0.316462164,0.193105147,0.702622462,0.001613578,0.12,0.52,0.32,0.2,0.24,0.24,0.32,0.34,0.24,0.34,0.28,0.22,0.42,0.36,0.14,0.2,0.28,0.32,0.38,0.32,0.3,0.26,0.36,0.32,0.3,0.24,0.36,0.28,0.24,0.42
Bamberg_1,single nudge,0.679673819,0.065663192,0.810841241,0.018202109,0.927295218,0.004940107,1.034319313,0.001290034,0.810841241,0.018202109,0.810841241,0.018202109,0.679673819,0.065663192,0.74758435,0.034610558,0.870499814,0.009520083,0.74758435,0.034610558,0.870499814,0.009520083,0.74758435,0.034610558,1.085278204,0.000647357,0.810841241,0.018202109,0.679673819,0.065663192,0.981765357,0.002538687,0.605491903,0.124909824,0.74758435,0.034610558,0.870499814,0.009520083,0.74758435,0.034610558,0.870499814,0.009520083,0.927295218,0.004940107,0.870499814,0.009520083,0.605491903,0.124909824,0.74758435,0.034610558,0.74758435,0.034610558,0.605491903,0.124909824,0.870499814,0.009520083,0.679673819,0.065663192,0,0.111111111,0.155555556,0.2,0.244444444,0.155555556,0.155555556,0.111111111,0.133333333,0.177777778,0.133333333,0.177777778,0.133333333,0.266666667,0.155555556,0.111111111,0.222222222,0.088888889,0.133333333,0.177777778,0.133333333,0.177777778,0.2,0.177777778,0.088888889,0.133333333,0.133333333,0.088888889,0.177777778,0.111111111
Bamberg_2,single nudge,0.636514133,0.000311027,0.636514133,0.000311027,0.663589354,0.000169127,0.716973861,4.8e-05,0.43683233,0.014762008,0.609146382,0.000564014,0.524963925,0.003086795,0.406347559,0.024084087,0.496085476,0.005281894,0.242297571,0.210576221,0.310622394,0.093966599,0.242297571,0.210576221,0.406347559,0.024084087,0.43683233,0.014762008,0.169100702,0.428870493,0.310622394,0.093966599,0.310622394,0.093966599,0.276988287,0.142224031,0.343325899,0.060824013,0.524963925,0.003086795,0.375204406,0.038622239,0.406347559,0.024084087,0.406347559,0.024084087,0.13017061,0.587263165,0.343325899,0.060824013,0.276988287,0.142224031,0.343325899,0.060824013,0.242297571,0.210576221,0.343325899,0.060824013,0.075949367,0.316455696,0.316455696,0.329113924,0.35443038,0.227848101,0.303797468,0.265822785,0.215189873,0.253164557,0.151898734,0.17721519,0.151898734,0.215189873,0.227848101,0.126582278,0.17721519,0.17721519,0.164556962,0.189873418,0.265822785,0.202531646,0.215189873,0.215189873,0.113924051,0.189873418,0.164556962,0.189873418,0.151898734,0.189873418
Bamberg_3,single nudge,0.430479758,0.014982894,0.545127215,0.001827881,0.430479758,0.014982894,0.459890734,0.00905932,0.400478901,0.024382027,0,1,0.238913736,0.211299547,0.369822385,0.039010973,0.12838822,0.587746352,0.238913736,0.211299547,0.12838822,0.587746352,0.238913736,0.211299547,0.12838822,0.587746352,0.166769994,0.429511566,0.045474806,1,0.203534141,0.305156978,0.045474806,1,0.273094278,0.142896701,0.203534141,0.305156978,0.273094278,0.142896701,0.045474806,1,0.12838822,0.587746352,0.203534141,0.305156978,0.12838822,0.587746352,0.045474806,1,0,1,0.12838822,0.587746352,0.166769994,0.429511566,0.203534141,0.305156978,0.074074074,0.222222222,0.271604938,0.222222222,0.234567901,0.209876543,0.074074074,0.148148148,0.197530864,0.111111111,0.148148148,0.111111111,0.148148148,0.111111111,0.12345679,0.086419753,0.135802469,0.086419753,0.160493827,0.135802469,0.160493827,0.086419753,0.111111111,0.135802469,0.111111111,0.086419753,0.074074074,0.111111111,0.12345679,0.135802469
Bohm_1,single nudge,0.316166804,0.042038237,0.204143352,0.187665145,0.19639307,0.204882226,-0.017239095,0.911179049,0.212280063,0.170763599,-0.018749389,0.903435268,-0.133581119,0.387914881,0.164915746,0.286724603,0.088501269,0.567046643,0.0214962,0.889374187,-0.213544307,0.168246803,-0.067693963,0.661445344,0.010950491,0.943509406,-0.300634602,0.053074714,-0.236592553,0.127113776,-0.137702855,0.373461691,-0.154853685,0.317053869,-0.346042686,0.026245741,-0.138041441,0.372296666,-0.043525278,0.778236769,-0.042331304,0.784165874,-0.12471852,0.420112499,-0.290697058,0.061328181,-0.292796154,0.059500908,-0.150407464,0.331144746,-0.35426508,0.022963977,-0.356151586,0.022241308,-0.405293798,0.009434245,-0.344141873,0.02707968,34.78571429,38.75,37.48809524,37.3452381,34.57142857,37.41666667,34.53571429,33.16666667,36.8452381,35.92857143,35.07142857,31.97619048,33.9047619,34.92857143,31.11904762,31.67857143,33.02380952,32.75,30.4047619,32.96428571,34.23809524,34.25,33.08333333,30.97619048,30.92857143,32.67857143,29.86904762,29.97619048,29.46428571,30.19047619
Broman_1,single nudge,0.047141711,0.514162565,-0.009301877,0.942980484,-0.036978611,0.618802639,0.023433992,0.773121963,-0.050695828,0.478551203,-0.036978611,0.618802639,-0.032388756,0.669447382,-0.086915944,0.205623752,-0.018564764,0.83045388,-0.064337527,0.358356529,-0.082415416,0.231499901,-0.055251264,0.436142622,-0.041559645,0.570001897,-0.109311273,0.107436793,-0.149209934,0.026272286,-0.009301877,0.942980484,-0.113769736,0.09328894,-0.073391888,0.290166241,-0.095895165,0.160408432,0.00934218,0.942733868,-0.086915944,0.205623752,-0.100374108,0.140879479,-0.064337527,0.358356529,-0.109311273,0.107436793,-0.027789931,0.72174881,-0.082415416,0.231499901,-0.073391888,0.290166241,-0.073391888,0.290166241,-0.068868628,0.323057886,0.710359408,0.731501057,0.706131078,0.693446089,0.720930233,0.687103594,0.693446089,0.695560254,0.670190275,0.701902748,0.680761099,0.67230444,0.684989429,0.691331924,0.65961945,0.640591966,0.706131078,0.657505285,0.67653277,0.665961945,0.714587738,0.670190275,0.66384778,0.680761099,0.65961945,0.697674419,0.67230444,0.67653277,0.67653277,0.678646934
Broman_2,single nudge,0.549013244,7.549999999999999e-30,0.076898156,0.103924253,0.007283008,0.915461111,0.199421097,1.83e-05,0.191045953,4.05e-05,0.126093276,0.006986987,0.199421097,1.83e-05,0.171737986,0.000226541,0.056685262,0.235979801,0.12082981,0.009793993,0.131378089,0.004918552,0.188267891,5.24e-05,0.105163532,0.02495488,0.118205956,0.011538617,0.079444511,0.092636561,0.066757127,0.160051685,0.115587289,0.013549868,0.210686271,5.97e-06,0.171737986,0.000226541,0.207859217,7.94e-06,0.007283008,0.915461111,0.126093276,0.006986987,0.036739537,0.453492269,0.105163532,0.02495488,0.105163532,0.02495488,0.134028628,0.00410596,-0.02166704,0.673711082,0.009717665,0.873398457,0.071818842,0.129689127,0.75209205,0.940376569,0.784518828,0.755230126,0.832635983,0.829497908,0.804393305,0.832635983,0.822175732,0.776150628,0.802301255,0.806485356,0.828451883,0.796025105,0.80125523,0.785564854,0.780334728,0.800209205,0.836820084,0.822175732,0.835774059,0.755230126,0.804393305,0.767782427,0.796025105,0.796025105,0.807531381,0.742677824,0.756276151,0.782426778
Broman_3,single nudge,0.211643621,1.2e-05,-0.227222876,2.16e-06,-0.179916204,0.00018022,-0.07748,0.113926437,-0.108772822,0.024836452,-0.04535228,0.368838582,-0.030444604,0.560695903,-0.071703583,0.144777661,-0.147533724,0.0021905,-0.074595273,0.128614724,-0.086093137,0.077823606,-0.062985982,0.202951236,-0.065899015,0.181866518,-0.125522621,0.009369779,-0.158409208,0.000993216,-0.152981957,0.001482813,-0.08895074,0.068146352,-0.122745791,0.011099453,-0.128293666,0.007887922,-0.062985982,0.202951236,-0.195844716,4.5e-05,-0.171888124,0.000348443,-0.144801612,0.002651793,-0.103141053,0.033611764,-0.108772822,0.024836452,-0.086093137,0.077823606,-0.227222876,2.16e-06,-0.150260489,0.00180464,-0.182582629,0.000143932,0.848115299,0.915742794,0.758314856,0.77827051,0.819290466,0.807095344,0.831485588,0.837028825,0.821507761,0.791574279,0.820399113,0.815964523,0.824833703,0.823725055,0.800443459,0.78713969,0.789356984,0.814855876,0.801552106,0.799334812,0.824833703,0.771618625,0.781596452,0.792682927,0.809312639,0.807095344,0.815964523,0.758314856,0.790465632,0.777161863
Bruns_1,single nudge,1.722314621,3.77e-21,1.362798722,2.58e-15,1.454426935,6.43e-17,1.417883105,3.04e-16,1.324567768,1.11e-14,1.417883105,3.04e-16,1.39878521,5.98e-16,1.423353602,2.31e-16,1.441044395,1.19e-16,1.388541504,9.99e-16,1.402157337,5.65e-16,1.378037209,1.43e-15,1.441044395,1.19e-16,1.441044395,1.19e-16,1.400411621,5.83e-16,1.441044395,1.19e-16,1.441044395,1.19e-16,1.409117196,4.22e-16,1.364707376,2.48e-15,1.416181734,3.13e-16,1.416181734,3.13e-16,1.395299598,7.53e-16,1.402157337,5.65e-16,1.441044395,1.19e-16,1.441044395,1.19e-16,1.424971523,2.25e-16,1.369491305,1.95e-15,1.432167325,1.66e-16,1.402157337,5.65e-16,3.670588235,5.658823529,5.176470588,5.223529412,5.223529412,5.141176471,5.223529412,5.188235294,5.211764706,5.235294118,5.211764706,5.211764706,5.188235294,5.235294118,5.235294118,5.2,5.235294118,5.235294118,5.211764706,5.188235294,5.211764706,5.211764706,5.211764706,5.211764706,5.235294118,5.235294118,5.223529412,5.176470588,5.223529412,5.211764706
Camilleri_1,single nudge,0.40480202,0.001222373,0.100596478,0.481914116,0.195789645,0.133033332,0.361104667,0.004045038,0.067758044,0.669737438,0.211245541,0.102797415,-0.127329668,0.3604139,-0.186548471,0.160539395,-0.08957968,0.547733243,-0.017436748,1,-0.249614759,0.055181408,-0.317708868,0.013835487,-0.294356484,0.022814689,-0.186548471,0.160539395,-0.341816142,0.008039662,-0.249614759,0.055181408,-0.317708868,0.013835487,-0.207094474,0.11603786,-0.294356484,0.022814689,-0.271680559,0.036150001,-0.249614759,0.055181408,-0.419712898,0.001182983,-0.341816142,0.008039662,-0.249614759,0.055181408,-0.317708868,0.013835487,-0.317708868,0.013835487,-0.419712898,0.001182983,-0.294356484,0.022814689,-0.392690898,0.002359025,0.212765957,0.397163121,0.255319149,0.29787234,0.375886525,0.241134752,0.304964539,0.163120567,0.141843972,0.177304965,0.205673759,0.120567376,0.09929078,0.106382979,0.141843972,0.092198582,0.120567376,0.09929078,0.134751773,0.106382979,0.113475177,0.120567376,0.070921986,0.092198582,0.120567376,0.09929078,0.09929078,0.070921986,0.106382979,0.078014184
