"","window","log_tf","winsor","model","estimate","std.error","statistic","p.value"
"1","[150,20000]",FALSE,"abs","nudge_rt_acc",-4.84868620873974e-05,1.43735584125056e-05,-3.37333739467129,0.000809576519315193
"2","[150,20000]",FALSE,"none","nudge_rt_acc",-4.84868620873974e-05,1.43735584125056e-05,-3.37333739467129,0.000809576519315193
"3","[150,20000]",FALSE,"quant","nudge_rt_acc",-4.91551832093328e-05,1.44156383083643e-05,-3.40985131271028,0.000711054463443252
"4","[150,20000]",TRUE,"abs","nudge_rt_acc",-0.335632832376016,0.0836323038713608,-4.01319605988937,7.0605932548286e-05
"5","[150,20000]",TRUE,"none","nudge_rt_acc",-0.335632832376016,0.0836323038713608,-4.01319605988937,7.0605932548286e-05
"6","[150,20000]",TRUE,"quant","nudge_rt_acc",-0.338559987005718,0.083854104219114,-4.03748856610581,6.3919739247939e-05
"7","[150,30000]",FALSE,"abs","nudge_rt_acc",-2.93342527441192e-05,1.15583199457584e-05,-2.5379339628753,0.0114917292010668
"8","[150,30000]",FALSE,"none","nudge_rt_acc",-2.93342527441192e-05,1.15583199457584e-05,-2.5379339628753,0.0114917292010668
"9","[150,30000]",FALSE,"quant","nudge_rt_acc",-3.00841296120207e-05,1.15780583069871e-05,-2.59837434001049,0.00967813899913871
"10","[150,30000]",TRUE,"abs","nudge_rt_acc",-0.2694361486637,0.0768715175931916,-3.50501924639463,0.000502958950659368
"11","[150,30000]",TRUE,"none","nudge_rt_acc",-0.2694361486637,0.0768715175931916,-3.50501924639463,0.000502958950659368
"12","[150,30000]",TRUE,"quant","nudge_rt_acc",-0.273449441411749,0.0771151274356698,-3.54598961973918,0.000432712413368695
"13","[200,20000]",FALSE,"abs","nudge_rt_acc",-4.84868620873974e-05,1.43735584125056e-05,-3.37333739467129,0.000809576519315193
"14","[200,20000]",FALSE,"none","nudge_rt_acc",-4.84868620873974e-05,1.43735584125056e-05,-3.37333739467129,0.000809576519315193
