study_id,agent_id,day,activate_friends,choice_1_friends,initial_choice,last_choice,choice
Bamberg_3,1,3,19,5,0,0,0
Bamberg_3,1,4,16,3,0,0,0
Bamberg_3,1,5,21,10,0,0,0
Bamberg_3,1,6,18,7,0,0,0
Bamberg_3,1,7,17,6,0,0,0
Bamberg_3,1,8,19,8,0,0,0
Bamberg_3,1,9,14,4,0,0,0
Bamberg_3,1,10,11,4,0,0,0
Bamberg_3,1,11,16,7,0,0,0
Bamberg_3,1,12,17,5,0,0,0
Bamberg_3,1,13,20,9,0,0,0
Bamberg_3,1,14,18,8,0,0,0
Bamberg_3,1,15,16,6,0,0,0
Bamberg_3,1,16,14,7,0,0,0
Bamberg_3,1,17,16,7,0,0,0
Bamberg_3,1,18,18,6,0,0,0
Bamberg_3,1,19,20,5,0,0,0
Bamberg_3,1,20,21,8,0,0,0
Bamberg_3,1,21,20,8,0,0,0
Bamberg_3,1,22,16,5,0,0,0
Bamberg_3,1,23,18,7,0,0,0
Bamberg_3,1,24,20,8,0,0,0
Bamberg_3,1,25,19,9,0,0,0
Bamberg_3,1,26,17,7,0,0,0
Bamberg_3,1,27,15,8,0,0,0
Bamberg_3,1,28,20,4,0,0,0
Bamberg_3,1,29,17,5,0,0,0
Bamberg_3,1,30,14,6,0,0,0
Bamberg_3,2,3,7,3,0,0,0
Bamberg_3,2,4,8,2,0,0,0
Bamberg_3,2,5,5,1,0,0,0
Bamberg_3,2,6,8,4,0,0,0
Bamberg_3,2,7,6,2,0,0,0
Bamberg_3,2,8,8,3,0,0,0
Bamberg_3,2,9,5,2,0,0,0
Bamberg_3,2,10,7,2,0,0,0
Bamberg_3,2,11,9,4,0,0,0
Bamberg_3,2,12,7,4,0,0,0
Bamberg_3,2,13,10,4,0,0,0
Bamberg_3,2,14,7,2,0,0,0
Bamberg_3,2,15,7,4,0,0,0
Bamberg_3,2,16,5,3,0,0,0
Bamberg_3,2,17,9,1,0,0,0
Bamberg_3,2,18,9,3,0,0,0
Bamberg_3,2,19,3,2,0,0,0
Bamberg_3,2,20,7,3,0,0,0
Bamberg_3,2,21,5,2,0,0,0
Bamberg_3,2,22,6,1,0,0,0
Bamberg_3,2,23,7,3,0,0,0
Bamberg_3,2,24,3,2,0,0,0
Bamberg_3,2,25,7,3,0,0,0
Bamberg_3,2,26,4,1,0,0,0
Bamberg_3,2,27,6,4,0,0,0
Bamberg_3,2,28,5,3,0,0,1
Bamberg_3,2,29,9,4,0,1,1
Bamberg_3,2,30,7,4,0,1,1
Bamberg_3,3,3,5,2,0,0,0
Bamberg_3,3,4,4,1,0,0,1
Bamberg_3,3,5,7,2,0,1,0
Bamberg_3,3,6,8,2,0,0,0
