study_id,agent_id,day,activate_friends,choice_1_friends,initial_choice,last_choice,choice
Bamberg_3,1,3,3,1,0,0,0
Bamberg_3,1,4,2,0,0,0,0
Bamberg_3,1,5,4,1,0,0,0
Bamberg_3,1,6,5,0,0,0,0
Bamberg_3,1,7,5,1,0,0,0
Bamberg_3,1,8,2,0,0,0,0
Bamberg_3,1,9,6,1,0,0,0
Bamberg_3,1,10,4,1,0,0,0
Bamberg_3,1,11,2,0,0,0,0
Bamberg_3,1,12,7,3,0,0,0
Bamberg_3,1,13,2,1,0,0,0
Bamberg_3,1,14,4,0,0,0,0
Bamberg_3,1,15,7,2,0,0,0
Bamberg_3,1,16,5,2,0,0,0
Bamberg_3,1,17,2,0,0,0,0
Bamberg_3,1,18,4,1,0,0,0
Bamberg_3,1,19,4,0,0,0,0
Bamberg_3,1,20,6,1,0,0,0
Bamberg_3,1,21,5,1,0,0,0
Bamberg_3,1,22,7,2,0,0,0
Bamberg_3,1,23,3,1,0,0,0
Bamberg_3,1,24,6,1,0,0,0
Bamberg_3,1,25,5,3,0,0,0
Bamberg_3,1,26,5,1,0,0,0
Bamberg_3,1,27,3,1,0,0,0
Bamberg_3,1,28,4,0,0,0,0
Bamberg_3,1,29,4,0,0,0,0
Bamberg_3,1,30,4,2,0,0,0
Bamberg_3,2,3,4,1,0,0,0
Bamberg_3,2,4,5,1,0,0,0
Bamberg_3,2,5,5,2,0,0,0
Bamberg_3,2,6,2,0,0,0,0
Bamberg_3,2,7,4,1,0,0,0
Bamberg_3,2,8,4,1,0,0,0
Bamberg_3,2,9,2,1,0,0,0
Bamberg_3,2,10,4,2,0,0,0
Bamberg_3,2,11,2,1,0,0,0
Bamberg_3,2,12,5,3,0,0,0
Bamberg_3,2,13,4,0,0,0,0
Bamberg_3,2,14,4,1,0,0,0
Bamberg_3,2,15,3,0,0,0,0
Bamberg_3,2,16,3,1,0,0,0
Bamberg_3,2,17,5,2,0,0,0
Bamberg_3,2,18,5,1,0,0,0
Bamberg_3,2,19,6,1,0,0,0
Bamberg_3,2,20,4,1,0,0,0
Bamberg_3,2,21,4,1,0,0,0
Bamberg_3,2,22,3,0,0,0,0
Bamberg_3,2,23,3,2,0,0,0
Bamberg_3,2,24,4,1,0,0,0
Bamberg_3,2,25,4,2,0,0,0
Bamberg_3,2,26,3,1,0,0,0
Bamberg_3,2,27,3,1,0,0,0
Bamberg_3,2,28,3,0,0,0,0
Bamberg_3,2,29,5,1,0,0,0
Bamberg_3,2,30,4,1,0,0,0
Bamberg_3,3,3,3,2,0,0,0
Bamberg_3,3,4,4,2,0,0,0
Bamberg_3,3,5,2,0,0,0,0
Bamberg_3,3,6,4,1,0,0,0
Bamberg_3,3,7,4,1,0,0,0
Bamberg_3,3,8,1,1,0,0,0
Bamberg_3,3,9,4,1,0,0,0
Bamberg_3,3,10,2,0,0,0,0
Bamberg_3,3,11,4,2,0,0,0
Bamberg_3,3,12,3,1,0,0,0
Bamberg_3,3,13,4,2,0,0,0
Bamberg_3,3,14,3,1,0,0,0
Bamberg_3,3,15,4,0,0,0,0
Bamberg_3,3,16,2,1,0,0,0
Bamberg_3,3,17,3,0,0,0,0
Bamberg_3,3,18,5,2,0,0,0
Bamberg_3,3,19,4,1,0,0,0
Bamberg_3,3,20,4,0,0,0,0
Bamberg_3,3,21,4,1,0,0,0
Bamberg_3,3,22,3,0,0,0,0
Bamberg_3,3,23,4,1,0,0,0
Bamberg_3,3,24,4,0,0,0,0
Bamberg_3,3,25,6,2,0,0,0
Bamberg_3,3,26,2,0,0,0,0
Bamberg_3,3,27,3,1,0,0,0
Bamberg_3,3,28,1,0,0,0,0
Bamberg_3,3,29,2,1,0,0,0
Bamberg_3,3,30,4,1,0,0,0
Bamberg_3,4,3,4,0,0,0,0
Bamberg_3,4,4,3,0,0,0,0
Bamberg_3,4,5,4,1,0,0,0
Bamberg_3,4,6,3,0,0,0,0
Bamberg_3,4,7,1,0,0,0,0
Bamberg_3,4,8,0,0,0,0,0
Bamberg_3,4,9,5,2,0,0,0
Bamberg_3,4,10,4,1,0,0,0
Bamberg_3,4,11,4,1,0,0,0
Bamberg_3,4,12,6,1,0,0,0
Bamberg_3,4,13,4,1,0,0,0
Bamberg_3,4,14,5,1,0,0,0
Bamberg_3,4,15,4,1,0,0,0
Bamberg_3,4,16,4,1,0,0,0
Bamberg_3,4,17,4,2,0,0,0
Bamberg_3,4,18,4,0,0,0,0
Bamberg_3,4,19,6,1,0,0,0
Bamberg_3,4,20,2,0,0,0,0
Bamberg_3,4,21,7,2,0,0,0
Bamberg_3,4,22,5,1,0,0,0
Bamberg_3,4,23,6,1,0,0,0
Bamberg_3,4,24,6,1,0,0,0
Bamberg_3,4,25,4,1,0,0,0
Bamberg_3,4,26,4,0,0,0,0
Bamberg_3,4,27,3,1,0,0,0
Bamberg_3,4,28,1,1,0,0,0
Bamberg_3,4,29,1,1,0,0,0
Bamberg_3,4,30,5,2,0,0,0
Bamberg_3,5,3,3,1,1,1,1
Bamberg_3,5,4,2,0,1,1,1
Bamberg_3,5,5,3,0,1,1,1
Bamberg_3,5,6,3,1,1,1,1
Bamberg_3,5,7,4,0,1,1,1
Bamberg_3,5,8,4,1,1,1,1
Bamberg_3,5,9,5,1,1,1,1
Bamberg_3,5,10,3,0,1,1,1
Bamberg_3,5,11,4,1,1,1,1
Bamberg_3,5,12,4,1,1,1,1
Bamberg_3,5,13,2,0,1,1,1
Bamberg_3,5,14,7,1,1,1,1
Bamberg_3,5,15,4,1,1,1,1
Bamberg_3,5,16,5,0,1,1,1
Bamberg_3,5,17,4,0,1,1,1
Bamberg_3,5,18,4,0,1,1,0
Bamberg_3,5,19,3,1,1,0,1
Bamberg_3,5,20,5,1,1,1,1
Bamberg_3,5,21,4,0,1,1,1
Bamberg_3,5,22,2,1,1,1,1
Bamberg_3,5,23,5,1,1,1,1
Bamberg_3,5,24,3,0,1,1,1
Bamberg_3,5,25,7,1,1,1,1
Bamberg_3,5,26,4,0,1,1,1
Bamberg_3,5,27,4,1,1,1,1
Bamberg_3,5,28,5,1,1,1,1
Bamberg_3,5,29,5,1,1,1,1
Bamberg_3,5,30,4,1,1,1,1
Bamberg_3,6,3,3,1,1,1,1
Bamberg_3,6,4,3,0,1,1,1
Bamberg_3,6,5,5,0,1,1,1
Bamberg_3,6,6,3,1,1,1,1
Bamberg_3,6,7,2,0,1,1,1
Bamberg_3,6,8,3,1,1,1,1
Bamberg_3,6,9,5,1,1,1,1
Bamberg_3,6,10,3,0,1,1,1
Bamberg_3,6,11,5,1,1,1,1
Bamberg_3,6,12,5,1,1,1,1
Bamberg_3,6,13,3,0,1,1,1
Bamberg_3,6,14,4,1,1,1,1
Bamberg_3,6,15,4,1,1,1,1
Bamberg_3,6,16,3,0,1,1,1
Bamberg_3,6,17,4,0,1,1,1
Bamberg_3,6,18,4,0,1,1,1
Bamberg_3,6,19,7,0,1,1,1
Bamberg_3,6,20,4,1,1,1,1
Bamberg_3,6,21,3,0,1,1,1
Bamberg_3,6,22,3,1,1,1,1
Bamberg_3,6,23,7,1,1,1,0
Bamberg_3,6,24,5,0,1,0,1
Bamberg_3,6,25,7,1,1,1,1
Bamberg_3,6,26,2,0,1,1,1
Bamberg_3,6,27,3,1,1,1,1
Bamberg_3,6,28,2,1,1,1,1
Bamberg_3,6,29,5,1,1,1,1
Bamberg_3,6,30,6,1,1,1,1
Bamberg_3,7,3,3,0,0,0,0
Bamberg_3,7,4,3,1,0,0,0
Bamberg_3,7,5,3,1,0,0,0
Bamberg_3,7,6,5,0,0,0,0
Bamberg_3,7,7,2,2,0,0,0
Bamberg_3,7,8,4,1,0,0,0
Bamberg_3,7,9,1,0,0,0,0
Bamberg_3,7,10,5,0,0,0,0
Bamberg_3,7,11,2,0,0,0,0
Bamberg_3,7,12,5,1,0,0,0
Bamberg_3,7,13,4,0,0,0,0
Bamberg_3,7,14,3,2,0,0,0
Bamberg_3,7,15,5,1,0,0,0
Bamberg_3,7,16,7,1,0,0,0
Bamberg_3,7,17,5,1,0,0,0
Bamberg_3,7,18,4,1,0,0,0
Bamberg_3,7,19,4,1,0,0,0
Bamberg_3,7,20,5,2,0,0,0
Bamberg_3,7,21,3,1,0,0,0
Bamberg_3,7,22,5,1,0,0,0
Bamberg_3,7,23,6,2,0,0,0
Bamberg_3,7,24,4,0,0,0,0
Bamberg_3,7,25,8,2,0,0,0
Bamberg_3,7,26,5,2,0,0,0
Bamberg_3,7,27,2,0,0,0,0
Bamberg_3,7,28,2,1,0,0,0
Bamberg_3,7,29,3,0,0,0,0
Bamberg_3,7,30,8,2,0,0,0
Bamberg_3,8,3,3,0,0,0,0
Bamberg_3,8,4,4,0,0,0,0
Bamberg_3,8,5,7,2,0,0,0
Bamberg_3,8,6,5,1,0,0,0
Bamberg_3,8,7,5,1,0,0,0
Bamberg_3,8,8,5,1,0,0,0
Bamberg_3,8,9,5,2,0,0,0
Bamberg_3,8,10,5,2,0,0,0
Bamberg_3,8,11,5,2,0,0,0
Bamberg_3,8,12,4,0,0,0,0
Bamberg_3,8,13,5,2,0,0,0
Bamberg_3,8,14,5,2,0,0,0
Bamberg_3,8,15,6,2,0,0,0
Bamberg_3,8,16,5,1,0,0,0
Bamberg_3,8,17,5,1,0,0,0
Bamberg_3,8,18,7,2,0,0,0
Bamberg_3,8,19,6,2,0,0,0
Bamberg_3,8,20,6,2,0,0,0
Bamberg_3,8,21,4,1,0,0,0
Bamberg_3,8,22,5,0,0,0,0
Bamberg_3,8,23,4,2,0,0,0
Bamberg_3,8,24,6,1,0,0,0
Bamberg_3,8,25,7,2,0,0,0
Bamberg_3,8,26,4,1,0,0,0
Bamberg_3,8,27,5,0,0,0,0
Bamberg_3,8,28,5,2,0,0,0
Bamberg_3,8,29,7,2,0,0,0
Bamberg_3,8,30,6,2,0,0,0
Bamberg_3,9,3,2,0,0,0,0
Bamberg_3,9,4,4,1,0,0,0
Bamberg_3,9,5,3,2,0,0,0
Bamberg_3,9,6,4,2,0,0,0
Bamberg_3,9,7,2,1,0,0,0
Bamberg_3,9,8,3,1,0,0,0
Bamberg_3,9,9,2,2,0,0,0
Bamberg_3,9,10,3,1,0,0,0
Bamberg_3,9,11,5,2,0,0,0
Bamberg_3,9,12,4,1,0,0,0
Bamberg_3,9,13,4,1,0,0,0
Bamberg_3,9,14,5,3,0,0,0
Bamberg_3,9,15,4,2,0,0,0
Bamberg_3,9,16,3,2,0,0,0
Bamberg_3,9,17,6,2,0,0,0
Bamberg_3,9,18,3,1,0,0,0
Bamberg_3,9,19,5,1,0,0,0
Bamberg_3,9,20,3,0,0,0,0
Bamberg_3,9,21,4,1,0,0,0
Bamberg_3,9,22,2,0,0,0,0
Bamberg_3,9,23,5,2,0,0,0
Bamberg_3,9,24,3,0,0,0,0
Bamberg_3,9,25,5,2,0,0,0
Bamberg_3,9,26,4,1,0,0,0
Bamberg_3,9,27,4,1,0,0,0
Bamberg_3,9,28,4,2,0,0,0
Bamberg_3,9,29,6,2,0,0,0
Bamberg_3,9,30,3,0,0,0,0
Bamberg_3,10,3,5,1,0,0,0
Bamberg_3,10,4,4,0,0,0,0
Bamberg_3,10,5,5,1,0,0,0
Bamberg_3,10,6,4,0,0,0,0
Bamberg_3,10,7,2,1,0,0,0
Bamberg_3,10,8,3,1,0,0,0
Bamberg_3,10,9,6,2,0,0,0
Bamberg_3,10,10,2,0,0,0,0
Bamberg_3,10,11,4,1,0,0,0
Bamberg_3,10,12,4,0,0,0,0
Bamberg_3,10,13,2,1,0,0,0
Bamberg_3,10,14,3,1,0,0,0
Bamberg_3,10,15,4,1,0,0,0
Bamberg_3,10,16,5,0,0,0,0
Bamberg_3,10,17,6,1,0,0,0
Bamberg_3,10,18,5,1,0,0,0
Bamberg_3,10,19,4,1,0,0,0
Bamberg_3,10,20,2,1,0,0,0
Bamberg_3,10,21,2,0,0,0,0
Bamberg_3,10,22,2,0,0,0,0
Bamberg_3,10,23,5,1,0,0,0
Bamberg_3,10,24,4,0,0,0,0
Bamberg_3,10,25,4,0,0,0,0
Bamberg_3,10,26,3,0,0,0,0
Bamberg_3,10,27,6,1,0,0,0
Bamberg_3,10,28,3,0,0,0,0
Bamberg_3,10,29,5,1,0,0,0
Bamberg_3,10,30,6,1,0,0,0
Bamberg_3,11,3,3,0,0,0,0
Bamberg_3,11,4,0,0,0,0,0
Bamberg_3,11,5,4,0,0,0,0
Bamberg_3,11,6,2,0,0,0,0
Bamberg_3,11,7,2,1,0,0,0
Bamberg_3,11,8,5,1,0,0,0
Bamberg_3,11,9,4,1,0,0,0
Bamberg_3,11,10,5,1,0,0,0
Bamberg_3,11,11,7,1,0,0,0
Bamberg_3,11,12,6,1,0,0,0
Bamberg_3,11,13,5,1,0,0,1
Bamberg_3,11,14,2,1,0,1,0
Bamberg_3,11,15,5,1,0,0,0
Bamberg_3,11,16,6,1,0,0,0
Bamberg_3,11,17,4,1,0,0,0
Bamberg_3,11,18,5,1,0,0,0
Bamberg_3,11,19,4,0,0,0,0
Bamberg_3,11,20,5,1,0,0,0
Bamberg_3,11,21,4,1,0,0,0
Bamberg_3,11,22,8,1,0,0,0
Bamberg_3,11,23,6,0,0,0,0
Bamberg_3,11,24,6,0,0,0,0
Bamberg_3,11,25,4,0,0,0,0
Bamberg_3,11,26,5,0,0,0,0
Bamberg_3,11,27,3,0,0,0,0
Bamberg_3,11,28,6,0,0,0,0
Bamberg_3,11,29,4,0,0,0,0
Bamberg_3,11,30,3,0,0,0,0
Bamberg_3,12,3,5,1,0,0,0
Bamberg_3,12,4,8,0,0,0,0
Bamberg_3,12,5,4,0,0,0,0
Bamberg_3,12,6,4,0,0,0,0
Bamberg_3,12,7,1,0,0,0,0
Bamberg_3,12,8,3,0,0,0,0
Bamberg_3,12,9,6,2,0,0,0
Bamberg_3,12,10,6,1,0,0,0
Bamberg_3,12,11,3,1,0,0,0
Bamberg_3,12,12,6,0,0,0,0
Bamberg_3,12,13,6,1,0,0,0
Bamberg_3,12,14,4,1,0,0,0
Bamberg_3,12,15,3,1,0,0,0
Bamberg_3,12,16,3,0,0,0,0
Bamberg_3,12,17,4,0,0,0,0
Bamberg_3,12,18,6,0,0,0,0
Bamberg_3,12,19,5,0,0,0,0
Bamberg_3,12,20,6,0,0,0,0
Bamberg_3,12,21,6,0,0,0,0
Bamberg_3,12,22,3,0,0,0,0
Bamberg_3,12,23,7,1,0,0,0
Bamberg_3,12,24,5,0,0,0,0
Bamberg_3,12,25,7,1,0,0,0
Bamberg_3,12,26,4,0,0,0,0
Bamberg_3,12,27,6,1,0,0,0
Bamberg_3,12,28,8,1,0,0,0
Bamberg_3,12,29,3,0,0,0,0
Bamberg_3,12,30,6,0,0,0,0
Bamberg_3,13,3,3,0,0,0,0
Bamberg_3,13,4,3,0,0,0,0
Bamberg_3,13,5,3,0,0,0,0
Bamberg_3,13,6,3,0,0,0,0
Bamberg_3,13,7,2,0,0,0,0
Bamberg_3,13,8,7,1,0,0,1
Bamberg_3,13,9,7,1,0,1,0
Bamberg_3,13,10,4,1,0,0,0
Bamberg_3,13,11,3,0,0,0,0
Bamberg_3,13,12,6,1,0,0,0
Bamberg_3,13,13,4,1,0,0,0
Bamberg_3,13,14,6,1,0,0,0
Bamberg_3,13,15,3,1,0,0,0
Bamberg_3,13,16,4,0,0,0,0
Bamberg_3,13,17,4,1,0,0,0
Bamberg_3,13,18,4,0,0,0,0
Bamberg_3,13,19,2,1,0,0,0
Bamberg_3,13,20,5,1,0,0,0
Bamberg_3,13,21,6,1,0,0,0
Bamberg_3,13,22,3,0,0,0,0
Bamberg_3,13,23,5,0,0,0,0
Bamberg_3,13,24,6,0,0,0,0
Bamberg_3,13,25,4,0,0,0,0
Bamberg_3,13,26,4,1,0,0,0
Bamberg_3,13,27,4,0,0,0,0
Bamberg_3,13,28,4,0,0,0,0
Bamberg_3,13,29,5,1,0,0,0
Bamberg_3,13,30,4,1,0,0,0
Bamberg_3,14,3,3,1,0,0,0
Bamberg_3,14,4,3,0,0,0,0
Bamberg_3,14,5,6,1,0,0,0
Bamberg_3,14,6,4,1,0,0,1
Bamberg_3,14,7,2,0,0,1,1
Bamberg_3,14,8,5,1,0,1,1
Bamberg_3,14,9,4,2,0,1,1
Bamberg_3,14,10,3,0,0,1,1
Bamberg_3,14,11,5,1,0,1,1
Bamberg_3,14,12,6,1,0,1,1
Bamberg_3,14,13,6,1,0,1,1
Bamberg_3,14,14,4,1,0,1,1
Bamberg_3,14,15,7,1,0,1,1
Bamberg_3,14,16,4,1,0,1,1
Bamberg_3,14,17,4,0,0,1,1
Bamberg_3,14,18,2,0,0,1,1
Bamberg_3,14,19,4,0,0,1,1
Bamberg_3,14,20,6,1,0,1,1
Bamberg_3,14,21,6,1,0,1,1
Bamberg_3,14,22,3,0,0,1,0
Bamberg_3,14,23,4,1,0,0,0
Bamberg_3,14,24,4,0,0,0,0
Bamberg_3,14,25,2,0,0,0,0
Bamberg_3,14,26,5,1,0,0,0
Bamberg_3,14,27,4,1,0,0,0
Bamberg_3,14,28,6,1,0,0,0
Bamberg_3,14,29,3,0,0,0,0
Bamberg_3,14,30,4,0,0,0,0
Bamberg_3,15,3,4,0,1,1,0
Bamberg_3,15,4,3,0,1,0,1
Bamberg_3,15,5,3,0,1,1,1
Bamberg_3,15,6,4,0,1,1,1
Bamberg_3,15,7,3,0,1,1,1
Bamberg_3,15,8,4,1,1,1,1
Bamberg_3,15,9,3,1,1,1,1
Bamberg_3,15,10,4,0,1,1,1
Bamberg_3,15,11,4,1,1,1,1
Bamberg_3,15,12,3,1,1,1,1
Bamberg_3,15,13,4,1,1,1,1
Bamberg_3,15,14,3,0,1,1,1
Bamberg_3,15,15,4,1,1,1,1
Bamberg_3,15,16,3,1,1,1,1
Bamberg_3,15,17,2,0,1,1,1
Bamberg_3,15,18,3,0,1,1,0
Bamberg_3,15,19,4,1,1,0,1
Bamberg_3,15,20,5,2,1,1,1
Bamberg_3,15,21,3,1,1,1,1
Bamberg_3,15,22,1,0,1,1,1
